A-1 A-3 	 A-3 A-2 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-3 A-3 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-3 B-1 	 A: 5   	 B: 1   	 A Winners: [([A],2)]                      	 B Winners: [([A],1)]
A-1 A-3 	 A-3 B-2 	 A: 5   	 B: 27  	 A Winners: [([A],2)]                      	 B Winners: [([A],12)]
A-1 A-3 	 A-3 B-3 	 A: 1   	 B: 51  	 A Winners: [([A],1)]                      	 B Winners: [([A],20)]
A-1 A-3 	 B-1 A-1 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 B-1 A-2 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 B-1 A-3 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 A-3 	 B-1 B-1 	 A: 5   	 B: 1   	 A Winners: [([A],2)]                      	 B Winners: [([A,B],1)]
A-1 A-3 	 B-1 B-2 	 A: 5   	 B: 15  	 A Winners: [([A],2)]                      	 B Winners: [([A],4),([A,B],2)]
A-1 A-3 	 B-1 B-3 	 A: 1   	 B: 31  	 A Winners: [([A,B],1)]                    	 B Winners: [([A],5),([A,B],4)]
A-1 A-3 	 B-2 A-1 	 A: 1   	 B: 13  	 A Winners: [([A],1)]                      	 B Winners: [([A],4)]
A-1 A-3 	 B-2 A-2 	 A: 1   	 B: 15  	 A Winners: [([A],1)]                      	 B Winners: [([A],6)]
A-1 A-3 	 B-2 A-3 	 A: 3   	 B: 19  	 A Winners: [([A],1)]                      	 B Winners: [([A],8)]
A-1 A-3 	 B-2 B-1 	 A: 9   	 B: 15  	 A Winners: [([A],2)]                      	 B Winners: [([A],4),([A,B],2)]
A-1 A-3 	 B-2 B-2 	 A: 3   	 B: 55  	 A Winners: [([A],1)]                      	 B Winners: [([A],10),([A,B],6)]
A-1 A-3 	 B-2 B-3 	 A: 1   	 B: 77  	 A Winners: [([A,B],1)]                    	 B Winners: [([A],5),([A,B],6),([B],10)]
A-1 A-3 	 B-3 A-1 	 A: 1   	 B: 73  	 A Winners: [([A],1)]                      	 B Winners: [([A],14),([A,B],8)]
A-1 A-3 	 B-3 A-2 	 A: 1   	 B: 65  	 A Winners: [([A],1)]                      	 B Winners: [([A],16),([A,B],1),([B],3)]
A-1 A-3 	 B-3 A-3 	 A: 1   	 B: 39  	 A Winners: [([A],1)]                      	 B Winners: [([A],16)]
A-1 A-3 	 B-3 B-1 	 A: 33  	 B: 31  	 A Winners: [([A,B],4),([B],6)]            	 B Winners: [([A],5),([A,B],4)]
A-1 A-3 	 B-3 B-2 	 A: 57  	 B: 131 	 A Winners: [([A,B],4),([B],17)]           	 B Winners: [([A],17),([A,B],12),([B],14)]
A-1 A-3 	 B-3 B-3 	 A: 1   	 B: 179 	 A Winners: [([A,B],1)]                    	 B Winners: [([A],12),([A,B],13),([B],28)]
A-1 B-1 	 A-1 A-1 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 B-1 	 A-1 A-2 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 B-1 	 A-1 A-3 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 B-1 	 A-1 B-1 	 A: 1   	 B: 1   	 A Winners: [([A,B],1)]                    	 B Winners: [([A,B],1)]
A-1 B-1 	 A-1 B-2 	 A: 1   	 B: 5   	 A Winners: [([A,B],1)]                    	 B Winners: [([B],2)]
A-1 B-1 	 A-1 B-3 	 A: 1   	 B: 9   	 A Winners: [([A,B],1)]                    	 B Winners: [([B],4)]
A-1 B-1 	 A-2 A-1 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 B-1 	 A-2 A-2 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 B-1 	 A-2 A-3 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 B-1 	 A-2 B-1 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A,B],1)]
A-1 B-1 	 A-2 B-2 	 A: 1   	 B: 7   	 A Winners: [([A,B],1)]                    	 B Winners: [([A,B],2)]
A-1 B-1 	 A-2 B-3 	 A: 1   	 B: 13  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],4)]
